algo,board_id,board_config_id,max_cards_percent,value,time
dynamic-top-down,0,0,0.25,71429,0.2266075000006822
dynamic-top-down,0,0,1.0,74224,0.30822498999987147
dynamic-top-down,1,0,0.25,56878,0.2126719010011584
dynamic-top-down,1,0,1.0,57029,0.30065179400116904
dynamic-top-down,2,0,0.25,63020,0.2113225959983538
dynamic-top-down,2,0,1.0,63279,0.2989227389989537
dynamic-top-down,3,0,0.25,63270,0.2063649740011897
dynamic-top-down,3,0,1.0,64646,0.29922668500148575
dynamic-top-down,4,0,0.25,61953,0.20311562800270622
dynamic-top-down,4,0,1.0,62239,0.29198744200039073
dynamic-top-down,5,1,0.25,101442,0.5128508290035825
dynamic-top-down,5,1,1.0,104340,0.7542419849996804
dynamic-top-down,6,1,0.25,92883,0.5291421510009968
dynamic-top-down,6,1,1.0,93921,0.7102218349973555
dynamic-top-down,7,1,0.25,104657,0.616859776997444
dynamic-top-down,7,1,1.0,107403,0.681848837997677
dynamic-top-down,8,1,0.25,97868,0.5029762039994239
dynamic-top-down,8,1,1.0,98658,0.7109192170028109
dynamic-top-down,9,1,0.25,92526,0.6854753580009856
dynamic-top-down,9,1,1.0,93598,0.7872344039969903
dynamic-top-down,10,2,0.25,129801,0.9957654400022875
dynamic-top-down,10,2,1.0,134770,1.6407592420000583
dynamic-top-down,11,2,0.25,130065,1.3626533980022941
dynamic-top-down,11,2,1.0,131917,1.7261169389967108
dynamic-top-down,12,2,0.25,129427,1.2851006870005222
dynamic-top-down,12,2,1.0,133794,1.407861588002561
dynamic-top-down,13,2,0.25,125519,1.3418531349998375
dynamic-top-down,13,2,1.0,128866,1.5601489300024696
dynamic-top-down,14,2,0.25,133965,0.9941089819985791
dynamic-top-down,14,2,1.0,136878,1.6329443380018347
dynamic-top-down,15,3,0.25,157350,2.0782223930000328
dynamic-top-down,15,3,1.0,159514,3.0596726660005515
dynamic-top-down,16,3,0.25,161345,2.224040180000884
dynamic-top-down,16,3,1.0,163202,2.9870555240013346
dynamic-top-down,17,3,0.25,162368,2.4274684410011105
dynamic-top-down,17,3,1.0,165976,3.0245593590007047
dynamic-top-down,18,3,0.25,157942,2.4560671159997582
dynamic-top-down,18,3,1.0,162669,3.0181788219997543
dynamic-top-down,19,3,0.25,164936,2.4425195030016766
dynamic-top-down,19,3,1.0,168901,3.044960646002437
dynamic-top-down,20,4,0.25,204514,3.471493349999946
dynamic-top-down,20,4,1.0,213094,4.882549940000899
dynamic-top-down,21,4,0.25,201165,3.6160692350022146
dynamic-top-down,21,4,1.0,205063,4.651428990000568
dynamic-top-down,22,4,0.25,206693,3.910207871002058
dynamic-top-down,22,4,1.0,211917,4.663756582001952
dynamic-top-down,23,4,0.25,194201,3.7274872769994545
dynamic-top-down,23,4,1.0,199679,4.847584113002085
dynamic-top-down,24,4,0.25,207924,3.9235256790016138
dynamic-top-down,24,4,1.0,215111,4.718427368999983
dynamic-top-down,25,5,0.25,229951,5.002228109999123
dynamic-top-down,25,5,1.0,235018,6.567556320998847
dynamic-top-down,26,5,0.25,229442,5.726209570999345
dynamic-top-down,26,5,1.0,233629,6.9545527000009315
dynamic-top-down,27,5,0.25,229296,5.496411015999911
dynamic-top-down,27,5,1.0,234578,7.1758791860011115
dynamic-top-down,28,5,0.25,237440,5.567579353002657
dynamic-top-down,28,5,1.0,242879,6.827308107000135
dynamic-top-down,29,5,0.25,235044,5.497603725998488
dynamic-top-down,29,5,1.0,241090,7.038237597000261
dynamic-top-down,30,6,0.25,265729,7.145502712999587
dynamic-top-down,30,6,1.0,272991,9.807909131999622
dynamic-top-down,31,6,0.25,262676,7.758369085000595
dynamic-top-down,31,6,1.0,268938,9.659837898998376
dynamic-top-down,32,6,0.25,264040,7.689927835002891
dynamic-top-down,32,6,1.0,271105,9.292326779999712
dynamic-top-down,33,6,0.25,265431,7.509857863002253
dynamic-top-down,33,6,1.0,269464,9.30942517999938
dynamic-top-down,34,6,0.25,267753,7.444285236000724
dynamic-top-down,34,6,1.0,275569,9.168349777002732
dynamic-top-down,35,7,0.25,289571,9.700665430002118
dynamic-top-down,35,7,1.0,294373,13.034892202002084
dynamic-top-down,36,7,0.25,288469,10.0662597369992
dynamic-top-down,36,7,1.0,293250,12.885847199999262
dynamic-top-down,37,7,0.25,295588,10.44028059500124
dynamic-top-down,37,7,1.0,303383,13.097403256997495
dynamic-top-down,38,7,0.25,297719,10.097572314996796
dynamic-top-down,38,7,1.0,306053,12.772618853003223
dynamic-top-down,39,7,0.25,292325,11.057095221000054
dynamic-top-down,39,7,1.0,296890,13.025609677999455
dynamic-top-down,40,8,0.25,322963,13.570357902000978
dynamic-top-down,40,8,1.0,327192,17.851389228002517
dynamic-top-down,41,8,0.25,321310,13.793988809997245
dynamic-top-down,41,8,1.0,326299,18.436188366998977
dynamic-top-down,42,8,0.25,325845,14.029003977000684
dynamic-top-down,42,8,1.0,333033,17.43940704600027
dynamic-top-down,43,8,0.25,334870,13.002583680998214
dynamic-top-down,43,8,1.0,342061,17.191114157998527
dynamic-top-down,44,8,0.25,330961,13.068980082000053
dynamic-top-down,44,8,1.0,339151,16.360083908999513
