algo,board_id,board_config_id,max_cards_percent,n_iter,region_percent_size,num_trials,value_mean,value_std,value_min,value_max,time_mean,time_std
greedy,0,0,0.25,200,0.05,3,71341.0,0.0,71341,71341,0.18301267366647758,0.011401846687488152
greedy,0,0,1.0,200,0.05,3,74215.0,12.727922061357855,74197,74224,0.22543914299967582,0.012575895863065102
greedy,1,0,0.25,200,0.05,3,56796.333333333336,65.99663291074444,56703,56843,0.1624766553347096,0.005006265401119809
greedy,1,0,1.0,200,0.05,3,57029.0,0.0,57029,57029,0.17982535566625302,0.020361082171701832
greedy,2,0,0.25,200,0.05,3,62547.666666666664,19.327585352432298,62534,62575,0.2806231803321377,0.07793201945094407
greedy,2,0,1.0,200,0.05,3,63279.0,0.0,63279,63279,0.19700563066726318,0.004547367013514461
greedy,3,0,0.25,200,0.05,3,62581.333333333336,57.03994701571484,62541,62662,0.23292283633418265,0.08596458100480722
greedy,3,0,1.0,200,0.05,3,64646.0,0.0,64646,64646,0.20011857399852792,0.013687990366258488
greedy,4,0,0.25,200,0.05,3,61215.333333333336,204.01688383290457,60958,61457,0.18531226299940803,0.0074800397866762545
greedy,4,0,1.0,200,0.05,3,62239.0,0.0,62239,62239,0.18287339300028785,0.0011272570339079654
greedy,5,1,0.25,200,0.05,3,100790.66666666667,34.93167935015753,100751,100836,0.35456153066600865,0.03308137280430824
greedy,5,1,1.0,200,0.05,3,104340.0,0.0,104340,104340,0.37468181833294995,0.0009808352518328746
greedy,6,1,0.25,200,0.05,3,91884.0,82.95782060782456,91770,91965,0.3455779126658551,0.006550737894613142
greedy,6,1,1.0,200,0.05,3,93921.0,0.0,93921,93921,0.4785512176664876,0.12059974349862533
greedy,7,1,0.25,200,0.05,3,104554.33333333333,13.67073110293992,104535,104564,0.4178186640019703,0.07200911442428018
greedy,7,1,1.0,200,0.05,3,107360.66666666667,59.86837414046102,107276,107403,0.36768418566619704,0.0016982302627955336
greedy,8,1,0.25,200,0.05,3,97082.66666666667,30.346151137976115,97040,97108,0.3432696266669761,0.011601307739343687
greedy,8,1,1.0,200,0.05,3,98658.0,0.0,98658,98658,0.3622291923335676,0.007813513882381393
greedy,9,1,0.25,200,0.05,3,92396.66666666667,106.53742169877317,92246,92472,0.28978303533464594,0.0024403490718505807
greedy,9,1,1.0,200,0.05,3,93489.0,154.14927829866735,93271,93598,0.43042256333380163,0.045427226090367624
greedy,10,2,0.25,200,0.05,3,129330.33333333333,45.72623851673007,129298,129395,0.6438570990006459,0.043324100026228725
greedy,10,2,1.0,200,0.05,3,134770.0,0.0,134770,134770,0.7206136683331957,0.03510425563441938
greedy,11,2,0.25,200,0.05,3,129616.0,0.0,129616,129616,0.6025944303328288,0.004891027365547459
greedy,11,2,1.0,200,0.05,3,131917.0,0.0,131917,131917,0.7045046146668028,0.011760796212393511
greedy,12,2,0.25,200,0.05,3,128552.0,251.04979585731593,128197,128734,0.599479055335299,0.05522044782090173
greedy,12,2,1.0,200,0.05,3,133607.0,264.45793616376875,133233,133794,0.7562557260001389,0.05923030573596581
greedy,13,2,0.25,200,0.05,3,125342.33333333333,12.256517540566826,125325,125351,0.6745413553338343,0.08607083564197138
greedy,13,2,1.0,200,0.05,3,128866.0,0.0,128866,128866,0.7273316639996968,0.025745651729204243
greedy,14,2,0.25,200,0.05,3,133062.66666666666,62.47310532452256,132987,133140,0.7775556483344795,0.15262210666062792
greedy,14,2,1.0,200,0.05,3,136878.0,0.0,136878,136878,0.7713247716662105,0.057940920645788055
greedy,15,3,0.25,200,0.05,3,156388.33333333334,66.12278141625791,156295,156440,0.8772162049996647,0.017918451005312842
greedy,15,3,1.0,200,0.05,3,159319.33333333334,137.65012007098125,159222,159514,1.234429472332219,0.18265394612038893
greedy,16,3,0.25,200,0.05,3,160963.0,0.0,160963,160963,0.9337718666671814,0.036755264026455715
greedy,16,3,1.0,200,0.05,3,163202.0,0.0,163202,163202,1.0849352439994011,0.05368844447709231
greedy,17,3,0.25,200,0.05,3,161798.66666666666,77.92874237974644,161692,161876,0.9134318530001716,0.0536080952413413
greedy,17,3,1.0,200,0.05,3,165976.0,0.0,165976,165976,1.073435970666954,0.07665367061840421
greedy,18,3,0.25,200,0.05,3,157185.0,121.41663806908838,157014,157284,1.079952621999837,0.18109346722866823
greedy,18,3,1.0,200,0.05,3,162496.33333333334,122.0937708848772,162410,162669,1.1775367886681731,0.06622332398038747
greedy,19,3,0.25,200,0.05,3,164346.66666666666,113.11449460121761,164190,164453,0.9905896590013678,0.08190628072999595
greedy,19,3,1.0,200,0.05,3,168901.0,0.0,168901,168901,1.0618218723332877,0.004925425630896491
greedy,20,4,0.25,200,0.05,3,204183.33333333334,16.49915822768611,204160,204195,1.5249689306680618,0.11220181095239692
greedy,20,4,1.0,200,0.05,3,213014.0,56.568542494923804,212974,213094,1.7923456376665854,0.13007452410460477
greedy,21,4,0.25,200,0.05,3,200968.33333333334,134.51476581484363,200779,201079,1.4750626713321253,0.08846099078886015
greedy,21,4,1.0,200,0.05,3,205063.0,0.0,205063,205063,1.5788936583339819,0.07285488852540113
greedy,22,4,0.25,200,0.05,3,205912.33333333334,147.52476251651976,205707,206047,1.4621262319997186,0.16029420244398834
greedy,22,4,1.0,200,0.05,3,211917.0,0.0,211917,211917,1.8095053303344077,0.064044926929799
greedy,23,4,0.25,200,0.05,3,193653.33333333334,37.2409571424915,193606,193697,1.4945413239996317,0.12273813996684323
greedy,23,4,1.0,200,0.05,3,199679.0,0.0,199679,199679,1.7369342733339483,0.16034168587101166
greedy,24,4,0.25,200,0.05,3,207365.33333333334,181.47788356221872,207114,207536,1.3673781276665977,0.027924227226279928
greedy,24,4,1.0,200,0.05,3,215111.0,0.0,215111,215111,1.8843174959984026,0.16955581321521723
greedy,25,5,0.25,200,0.05,3,229348.0,68.47383928674269,229260,229427,1.8361503779985167,0.059298775307988674
greedy,25,5,1.0,200,0.05,3,235018.0,0.0,235018,235018,2.145360704998893,0.10357999046420376
greedy,26,5,0.25,200,0.05,3,229090.0,16.30950643030009,229073,229112,1.8798628476676338,0.009209753141399489
greedy,26,5,1.0,200,0.05,3,233629.0,0.0,233629,233629,2.2200154493342175,0.08042639362564127
greedy,27,5,0.25,200,0.05,3,229026.33333333334,100.49986180200558,228906,229152,1.8165830843330089,0.025880727770728376
greedy,27,5,1.0,200,0.05,3,234578.0,0.0,234578,234578,2.3263907290008015,0.2500707330602919
greedy,28,5,0.25,200,0.05,3,236442.0,416.3131833928235,236092,237027,1.6888048633324313,0.11074374055674364
greedy,28,5,1.0,200,0.05,3,242607.66666666666,191.86163996194992,242472,242879,2.19777744633393,0.1274384341499609
greedy,29,5,0.25,200,0.05,3,234475.0,139.70683591005846,234319,234658,1.8582044560001425,0.09893447803162769
greedy,29,5,1.0,200,0.05,3,241090.0,0.0,241090,241090,2.2225039363329415,0.12861379441491289
greedy,30,6,0.25,200,0.05,3,265121.6666666667,127.59397408272157,264942,265226,2.5771752953332907,0.2089444594752239
greedy,30,6,1.0,200,0.05,3,272991.0,0.0,272991,272991,3.1749231009998766,0.0754639687863667
greedy,31,6,0.25,200,0.05,3,262259.3333333333,37.20513704076659,262208,262295,2.240708364664897,0.05143628247596238
greedy,31,6,1.0,200,0.05,3,268938.0,0.0,268938,268938,3.2809921079994333,0.3645173243655964
greedy,32,6,0.25,200,0.05,3,263380.0,94.16297927883689,263270,263500,2.6468226036668057,0.05759801105245576
greedy,32,6,1.0,200,0.05,3,271010.0,134.35028842544403,270820,271105,3.0695537136659063,0.2866901020096207
greedy,33,6,0.25,200,0.05,3,265018.0,84.31290925277497,264952,265137,2.672771746999691,0.27907575604088747
greedy,33,6,1.0,200,0.05,3,269464.0,0.0,269464,269464,2.86706850566649,0.14866864305456523
greedy,34,6,0.25,200,0.05,3,267168.3333333333,93.48915563969022,267054,267283,2.465120739999596,0.03589079509718106
greedy,34,6,1.0,200,0.05,3,275569.0,0.0,275569,275569,2.9398579330008943,0.18074048756279243
greedy,35,7,0.25,200,0.05,3,288969.6666666667,72.11256632669664,288886,289062,3.053940175667473,0.18852634490626058
greedy,35,7,1.0,200,0.05,3,294373.0,0.0,294373,294373,3.688699109665322,0.1046544241487268
greedy,36,7,0.25,200,0.05,3,287926.6666666667,169.7789412409233,287692,288088,3.1242173309995755,0.07683101401532827
greedy,36,7,1.0,200,0.05,3,293250.0,0.0,293250,293250,4.235401425667078,0.40045691383658183
greedy,37,7,0.25,200,0.05,3,295241.6666666667,74.85244744755438,295136,295300,3.0313959093339995,0.16124539913555744
greedy,37,7,1.0,200,0.05,3,303383.0,0.0,303383,303383,3.869488101000267,0.22698907622900916
